epoch,train_loss,eval_loss,precision,recall,f1_score,learning_rate,train_time_epoch,eval_time
1,87.46944702602231,70.89831345669059,0.2080230602930579,0.08434791078211747,0.12002772002772004,0.0001,74.544409,51.331478
2,63.586646347684045,62.096367812045784,0.27215562978974256,0.134898217590338,0.18038551706173483,0.0001,71.111086,50.871501
3,55.53200635413698,57.11337057424146,0.32037796398645035,0.1750267848446479,0.22637944066515495,0.0001,73.549838,50.851374
4,50.547346083204985,54.597697796488916,0.3443321755604673,0.21242816791662608,0.2627552557074875,0.0001,71.472021,50.983572
5,47.025988548661694,53.264350273664604,0.3513317892298784,0.2363884289471121,0.28262008733624455,0.0001,71.322992,50.995616
6,44.52733815026549,51.35560481936432,0.3688684503901895,0.2578163046654329,0.3035028378145961,0.0001,71.149215,50.90237
7,42.290943645633284,49.31019414502521,0.38588487857238696,0.28012077529950324,0.3246049661399549,0.0001,72.12074,50.971807
8,39.92567144007488,47.36354919433594,0.40216530235014525,0.29667867926366026,0.3414606804551315,0.0001,70.945079,50.966665
9,37.63393367178821,44.855616841870685,0.41069761237828467,0.2998928606214084,0.34665615852285525,0.0001,73.194419,50.946697
10,35.10213985939451,45.10203244586324,0.42861050328227573,0.3052498295509886,0.3565618067011776,0.0001,75.688178,50.998287
11,33.83792013661126,45.03073866023574,0.41659278024065866,0.32034674198889646,0.36218478141173877,0.0001,72.876805,50.954221
12,32.11443439469461,45.41312184178552,0.41400720228486276,0.32472971656764393,0.3639737991266375,0.0001,75.559024,51.023971
13,31.043777941771157,44.78871079910633,0.42563349247153875,0.33865783578455244,0.37719678889129965,0.0001,74.353371,51.047802
14,29.929834480179288,44.7590757822436,0.4356014580801944,0.3491769747735463,0.38763042655565766,0.0001,73.442899,51.545445
15,28.60187312794441,46.374660807764805,0.4186383389666828,0.33778124086880296,0.3738882000970298,0.0001,73.725518,50.890478
16,28.01454471921389,43.634482734147895,0.44925283921099823,0.3660270770429532,0.4033920137398025,0.0001,72.464313,50.890104
17,26.515493683655468,42.836108998143395,0.4429466713964763,0.36485828382195384,0.40012817773979925,0.0001,71.307916,50.968418
18,25.178597966977655,43.20048385265262,0.4522141754719221,0.37099444823220024,0.407597645799893,0.0001,71.412879,50.990735
19,24.69938122096115,43.28106982918673,0.4557878752482187,0.380052595694945,0.4144890588485235,0.0001,76.246006,51.017156
20,23.805931022397647,43.17104658259902,0.46231694249315397,0.3782020064283627,0.4160505732347584,0.0001,73.833259,51.043845
21,23.278683863829503,45.26759610907976,0.43537889353788933,0.36485828382195384,0.3970112871601929,0.0001,73.311821,51.106973
22,22.441047789882106,44.83108002418695,0.453893324077288,0.3820979838316938,0.4149127445795875,0.0001,72.786163,50.920917
23,21.43797090505579,40.937489141419874,0.4729419857830773,0.4017726697185156,0.43446205698035706,0.0001,71.781343,50.850533
24,20.610518788094858,43.04072395502135,0.4514983351831299,0.39622090191876885,0.4220573740727292,0.0001,72.21985,51.069037
25,20.347651472986854,42.43923958711846,0.4576610659841994,0.40060387649751633,0.427235899033967,0.0001,74.476186,51.166813
26,20.10063852209141,40.070986548135444,0.4779691344218296,0.4162851855459238,0.4449997397053464,0.0001,82.016809,57.914205
27,18.83896560496114,39.806494076751,0.4803965248384941,0.4200837635141716,0.44822031696544556,0.0001,82.290809,57.784599
28,18.36189719912731,40.64711293065271,0.4723320158102767,0.41901236972825556,0.44407741935483874,0.0001,82.476062,57.820981
29,17.886168718116433,39.25140855656114,0.47872221601697756,0.41745397876692314,0.4459937565036421,0.0001,82.291127,57.800911
30,17.110695071047566,38.75562817950581,0.49405286343612337,0.43693386578357846,0.46374114849847525,0.0001,82.70659,57.754347
31,16.676756309310743,43.754156785122184,0.4835933297471759,0.43781046069932794,0.45956446171148146,0.0001,82.611964,57.933515
32,16.837836575330854,43.50330354202625,0.4748434463398834,0.4283627154962501,0.4504070868964104,0.0001,82.781052,57.980929
33,15.84394510162364,40.02655143205509,0.497001332741004,0.4358624719976624,0.46442841575424215,0.0001,82.735175,57.524676
34,14.991161346767914,42.058738559456756,0.48047919563589686,0.4375182623940781,0.45799347471451873,0.0001,82.96342,57.860473
35,14.89090136325049,40.40705542276072,0.49732386673948664,0.443459627934158,0.4688497580063845,0.0001,83.337784,58.184624
36,14.507497020038087,41.34721652008766,0.490131216231117,0.4329404889451641,0.459764170459247,0.0001,82.529625,57.610398
37,13.85621432954494,39.220209755121274,0.5097168239866741,0.44706340703223924,0.4763387297633873,0.0001,82.655806,57.731683
38,13.149144300463918,41.58887917097225,0.4930905195500803,0.4483295996883218,0.4696459544944393,0.0001,82.790179,57.893511
39,13.287251638657098,42.27632449127907,0.49174428450465707,0.4525177753969027,0.4713162566573675,0.0001,82.799525,57.79279
40,12.987552838143806,42.070673004860105,0.47375646847607983,0.43693386578357846,0.45460072963113096,0.0001,82.74309,57.773593
41,12.270303556356287,41.33934184584507,0.5013797495223944,0.46011493133339826,0.47986185179541874,0.0001,83.019141,57.840062
42,11.802124284595584,41.991866320233015,0.483310227151541,0.4414142397974092,0.4614131541437589,0.0001,82.197649,57.38879
43,11.492050092736585,44.74062862662382,0.4884536082474227,0.46147852342456414,0.47458306205238643,0.0001,83.308891,58.101304
44,11.775434205190843,42.091003205055415,0.5022904016192606,0.4592383364176488,0.4798005495064618,0.0001,83.098179,58.156201
45,10.917409556228876,41.45267452506132,0.4976333228147681,0.4607967273789812,0.47850713057550315,0.0001,83.372123,58.07619
46,10.397475288952371,40.781248055391536,0.5012760527435134,0.45914093698256553,0.4792842255096335,5e-05,83.083755,57.876757
