epoch,overall_precision,overall_recall,overall_f1,entity_avg_precision,entity_avg_recall,entity_avg_f1
1,0.775,0.7757,0.7753,0.7787454545454545,0.7590363636363636,0.7648454545454545
2,0.7674,0.8076,0.787,0.7703545454545455,0.7991363636363638,0.783309090909091
3,0.7767,0.7803,0.7785,0.7808545454545456,0.7715636363636363,0.7740636363636365
4,0.7766,0.7988,0.7875,0.7780818181818183,0.7941727272727271,0.7850363636363635
5,0.7784,0.7923,0.7853,0.7795909090909089,0.7904,0.7840636363636363
6,0.7818,0.7871,0.7844,0.7834272727272729,0.7817545454545454,0.7817545454545454
